rank;image_id;score;caption;cui
1;ROCOv2_2023_train_001272;0.8573362156748772;Coronary angiogram in the right anterior oblique (RAO) caudal projection showing left anterior descending artery continuing as posterior descending artery with non-dominant left circumflex artery.;"[""C0002978""]"
2;ROCOv2_2023_train_002181;0.846432525664568;Pelvic X-Ray;"[""C1306645"", ""C0030797"", ""C1999039""]"
3;ROCOv2_2023_train_001881;0.846160776168108;Final result after aorto-ostial stenting of a vein graft showing significant protrusion of the stent (marked as = = =) into the aortic lumen.;"[""C0002978""]"
4;ROCOv2_2023_train_002653;0.8455559588968754;The transcatheter embolization was performed with a vascular plug (black arrow) and another small fistula was detected in an intercostal artery to the internal mammary vein.;"[""C0002978""]"
5;ROCOv2_2023_train_001214;0.840615912526846;Single‐shot fast spin‐echo (SSFSE) black‐blood image of the aorta in a 32‐week fetus with coarctation of the aorta, confirmed postnatally. A characteristic indentation in the region of the aortic isthmus (a ‘posterior shelf’) is clearly visualised (*). AA, aortic arch;"[""C0024485""]"
6;ROCOv2_2023_train_002056;0.8405626446008683;Right shoulder radiograph demonstrating the shaft of the humerus (yellow arrow) in fixed abduction. The humeral head (blue arrow) is inferior to the glenoid fossa (star). Note the scapular spine (white arrow) is almost parallel to the shaft of the humerus (yellow arrow).;"[""C1306645"", ""C1140618""]"
7;ROCOv2_2023_train_002030;0.8403276614844799;Radiography of hip after seizures showing left acetabular fracture (Case 1).;"[""C1306645"", ""C0030797"", ""C1999039""]"
8;ROCOv2_2023_train_002674;0.838925252109766;CT scan without contrast showed moderate disc bulging. CT, computed tomography;"[""C0040405""]"
9;ROCOv2_2023_train_000169;0.8386489301919937;Pleural effusion and consolidation on chest X-ray of the patient.;"[""C1306645"", ""C0817096"", ""C1999039""]"
10;ROCOv2_2023_train_000632;0.8386082783341409;"Intraosseous ganglion cyst of the tibia incidentally depicted in a 40-year-old man who underwent an MRI scan due to intermittent, subacute non-specific knee pain. Sagittal FS PD-WI shows a metaepiphyseal, large, multiloculated cystic lesion of the tibia, which communicates with the articular surface through a thin stalk (arrow) extending into the interspinous region, close to the anterior cruciate ligament tibial insertion. Tb, tibia; ACL, anterior cruciate ligament";"[""C0024485""]"
